  cell  ,E,W,N,S
"(68, 50)",0,1,1,0
"(69, 50)",1,0,0,1
"(70, 50)",0,1,1,1
"(71, 50)",1,1,1,0
"(72, 50)",1,1,0,0
"(73, 50)",1,0,0,1
"(74, 50)",0,0,1,1
"(75, 50)",1,0,1,1
"(76, 50)",1,1,1,0
"(77, 50)",0,1,0,1
"(78, 50)",1,0,1,0
"(79, 50)",0,1,0,1
"(80, 50)",0,0,1,1
"(81, 50)",0,0,1,1
"(82, 50)",1,0,1,0
"(83, 50)",1,1,0,0
"(84, 50)",0,1,0,1
"(85, 50)",0,1,1,0
"(86, 50)",0,0,0,1
"(87, 50)",1,0,1,1
"(88, 50)",1,0,1,1
"(89, 50)",0,0,1,0
"(90, 50)",0,1,0,1
"(91, 50)",0,0,1,1
"(92, 50)",0,1,1,0
"(93, 50)",1,0,0,1
"(94, 50)",0,1,1,0
"(95, 50)",0,1,0,1
"(96, 50)",1,0,1,0
"(97, 50)",0,0,0,1
"(98, 50)",0,1,1,0
"(99, 50)",1,1,0,0
"(100, 50)",1,1,0,0
"(1, 51)",0,0,0,1
"(2, 51)",1,0,1,0
"(3, 51)",1,0,0,1
"(4, 51)",1,1,1,1
"(5, 51)",0,1,1,0
"(6, 51)",0,0,0,1
"(7, 51)",1,0,1,1
"(8, 51)",1,0,1,0
"(9, 51)",0,1,0,0
"(10, 51)",1,1,0,0
"(11, 51)",1,0,0,1
"(12, 51)",0,1,1,0
"(13, 51)",1,1,0,1
"(14, 51)",1,0,1,0
"(15, 51)",1,0,0,1
"(16, 51)",1,0,1,0
"(17, 51)",0,1,0,0
"(18, 51)",1,0,0,1
"(19, 51)",0,1,1,0
"(20, 51)",1,1,0,0
"(21, 51)",0,1,0,1
"(22, 51)",1,0,1,0
"(23, 51)",1,1,0,0
"(24, 51)",1,1,0,1
"(25, 51)",0,1,1,0
"(26, 51)",1,1,0,0
"(27, 51)",1,0,0,0
"(28, 51)",0,1,0,1
"(29, 51)",0,0,1,1
"(30, 51)",0,0,1,1
"(31, 51)",1,0,1,0
"(32, 51)",1,1,0,0
"(33, 51)",1,1,0,0
"(34, 51)",0,1,0,1
"(35, 51)",0,1,1,0
"(36, 51)",1,1,0,0
"(37, 51)",1,1,0,0
"(38, 51)",0,1,0,1
"(39, 51)",1,0,1,0
"(40, 51)",1,1,0,0
"(41, 51)",1,1,0,1
"(42, 51)",0,0,1,1
"(43, 51)",1,1,1,0
"(44, 51)",1,1,0,0
"(45, 51)",0,0,0,1
"(46, 51)",0,0,1,1
"(47, 51)",1,0,1,1
"(48, 51)",0,1,1,0
"(49, 51)",0,1,0,1
"(50, 51)",1,0,1,0
"(51, 51)",1,1,0,0
"(52, 51)",1,1,0,1
"(53, 51)",0,0,1,1
"(54, 51)",0,1,1,0
"(55, 51)",1,0,0,1
"(56, 51)",0,0,1,1
"(57, 51)",0,0,1,1
"(58, 51)",1,0,1,0
"(59, 51)",1,1,0,0
"(60, 51)",1,1,0,0
"(61, 51)",1,1,0,0
"(62, 51)",1,0,0,1
"(63, 51)",0,0,1,1
"(64, 51)",0,0,1,1
"(65, 51)",1,0,1,0
"(66, 51)",1,1,0,0
"(67, 51)",1,0,0,1
"(68, 51)",0,0,1,1
"(69, 51)",1,1,1,0
"(70, 51)",1,0,0,1
"(71, 51)",0,1,1,0
"(72, 51)",1,1,0,0
"(73, 51)",0,1,0,1
"(74, 51)",1,0,1,0
"(75, 51)",1,1,0,0
"(76, 51)",0,1,0,1
"(77, 51)",1,0,1,0
"(78, 51)",0,1,0,1
"(79, 51)",0,0,1,1
"(80, 51)",1,0,1,1
"(81, 51)",1,0,1,0
"(82, 51)",0,1,0,1
"(83, 51)",1,1,1,1
"(84, 51)",0,0,1,1
"(85, 51)",0,0,1,1
"(86, 51)",1,0,1,0
"(87, 51)",1,1,0,0
"(88, 51)",1,1,0,0
"(89, 51)",1,0,0,1
"(90, 51)",0,0,1,1
"(91, 51)",1,0,1,0
"(92, 51)",1,0,0,1
"(93, 51)",0,1,1,0
"(94, 51)",1,0,0,1
"(95, 51)",1,0,1,0
"(96, 51)",0,1,0,1
"(97, 51)",0,0,1,1
"(98, 51)",1,0,1,0
"(99, 51)",1,1,0,0
"(100, 51)",1,1,0,0
"(1, 52)",1,0,0,1
"(2, 52)",0,1,1,0
"(3, 52)",1,1,0,0
"(4, 52)",1,1,0,1
"(5, 52)",0,0,1,1
"(6, 52)",1,0,1,1
"(7, 52)",0,1,1,0
"(8, 52)",0,1,0,1
"(9, 52)",1,0,1,0
"(10, 52)",1,1,0,0
"(11, 52)",0,1,0,1
"(12, 52)",0,0,1,1
"(13, 52)",1,1,1,0
"(14, 52)",0,1,0,0
"(15, 52)",1,1,0,0
"(16, 52)",1,1,0,0
"(17, 52)",1,0,0,1
"(18, 52)",0,1,1,0
"(19, 52)",0,0,0,1
"(20, 52)",1,1,1,0
"(21, 52)",1,0,0,0
"(22, 52)",1,1,0,0
"(23, 52)",1,1,0,0
"(24, 52)",0,1,0,0
"(25, 52)",1,0,0,1
"(26, 52)",0,1,1,1
"(27, 52)",0,1,1,0
"(28, 52)",1,0,0,1
"(29, 52)",0,0,1,1
"(30, 52)",1,0,1,0
"(31, 52)",1,1,0,0
"(32, 52)",1,1,0,0
"(33, 52)",1,1,0,1
"(34, 52)",0,0,1,1
"(35, 52)",1,0,1,0
"(36, 52)",0,1,0,1
"(37, 52)",0,1,1,0
"(38, 52)",1,0,0,1
"(39, 52)",0,1,1,0
"(40, 52)",1,1,0,0
"(41, 52)",0,1,0,0
"(42, 52)",1,0,0,1
"(43, 52)",0,1,1,1
"(44, 52)",0,1,1,1
"(45, 52)",0,0,1,1
"(46, 52)",0,0,1,1
"(47, 52)",0,1,1,0
"(48, 52)",1,0,0,1
"(49, 52)",0,0,1,0
"(50, 52)",1,1,0,1
"(51, 52)",0,1,1,0
"(52, 52)",0,1,0,1
"(53, 52)",0,0,1,1
"(54, 52)",1,0,1,1
"(55, 52)",0,1,1,1
"(56, 52)",0,0,1,1
"(57, 52)",1,0,1,0
"(58, 52)",1,1,0,0
"(59, 52)",1,1,0,0
"(60, 52)",1,1,0,1
"(61, 52)",0,1,1,0
"(62, 52)",1,1,0,0
"(63, 52)",1,0,0,1
"(64, 52)",1,0,1,1
"(65, 52)",0,1,1,0
"(66, 52)",0,1,0,1
"(67, 52)",1,1,1,0
"(68, 52)",1,0,0,1
"(69, 52)",0,1,1,0
"(70, 52)",0,1,0,1
"(71, 52)",1,0,1,0
"(72, 52)",0,1,0,1
"(73, 52)",1,0,1,0
"(74, 52)",1,1,0,0
"(75, 52)",1,1,0,1
"(76, 52)",0,0,1,0
"(77, 52)",1,1,0,0
"(78, 52)",1,0,0,1
"(79, 52)",1,0,1,0
"(80, 52)",1,1,0,0
"(81, 52)",0,1,0,0
"(82, 52)",1,0,0,1
"(83, 52)",1,1,1,1
"(84, 52)",0,0,1,1
"(85, 52)",0,0,1,1
"(86, 52)",1,1,1,0
"(87, 52)",0,1,0,0
"(88, 52)",1,1,0,0
"(89, 52)",1,1,0,0
"(90, 52)",1,0,0,0
"(91, 52)",1,1,0,0
"(92, 52)",1,1,0,0
"(93, 52)",1,0,0,1
"(94, 52)",0,1,1,0
"(95, 52)",1,1,0,1
"(96, 52)",0,0,1,1
"(97, 52)",1,0,1,0
"(98, 52)",0,1,0,1
"(99, 52)",0,1,1,0
"(100, 52)",1,1,0,0
"(1, 53)",1,1,0,1
"(2, 53)",0,0,1,1
"(3, 53)",0,1,1,0
"(4, 53)",1,1,0,1
"(5, 53)",0,0,1,0
"(6, 53)",1,1,0,0
"(7, 53)",1,0,0,1
"(8, 53)",0,0,1,0
"(9, 53)",1,1,0,1
"(10, 53)",0,1,1,0
"(11, 53)",1,0,0,1
"(12, 53)",1,0,1,0
"(13, 53)",1,1,0,1
"(14, 53)",0,0,1,1
"(15, 53)",0,1,1,0
"(16, 53)",1,1,0,0
"(17, 53)",1,1,0,0
"(18, 53)",1,0,0,1
"(19, 53)",1,0,1,0
"(20, 53)",0,1,0,1
"(21, 53)",1,1,1,0
"(22, 53)",0,1,0,1
"(23, 53)",1,1,1,0
"(24, 53)",1,0,0,1
"(25, 53)",0,1,1,1
"(26, 53)",0,0,1,0
"(27, 53)",1,0,0,1
"(28, 53)",0,1,1,0
"(29, 53)",1,0,0,1
"(30, 53)",0,1,1,0
"(31, 53)",0,1,0,1
"(32, 53)",1,1,1,0
"(33, 53)",1,1,0,1
"(34, 53)",0,0,1,1
"(35, 53)",0,1,1,1
"(36, 53)",0,0,1,1
"(37, 53)",0,0,1,0
"(38, 53)",1,1,0,0
"(39, 53)",1,0,0,1
"(40, 53)",1,1,1,0
"(41, 53)",1,0,0,1
"(42, 53)",0,1,1,0
"(43, 53)",1,0,0,0
"(44, 53)",1,0,0,1
"(45, 53)",0,0,1,1
"(46, 53)",1,0,1,0
"(47, 53)",0,0,0,1
"(48, 53)",0,1,1,1
"(49, 53)",1,0,1,1
"(50, 53)",0,1,1,0
"(51, 53)",1,0,0,1
"(52, 53)",0,0,1,1
"(53, 53)",0,0,1,1
"(54, 53)",1,1,1,1
"(55, 53)",1,0,1,1
"(56, 53)",0,0,1,1
"(57, 53)",0,1,1,0
"(58, 53)",0,1,0,1
"(59, 53)",0,1,1,0
"(60, 53)",1,1,0,0
"(61, 53)",1,0,0,1
"(62, 53)",0,1,1,0
"(63, 53)",1,1,0,0
"(64, 53)",0,1,0,0
"(65, 53)",1,0,0,1
"(66, 53)",1,0,1,0
"(67, 53)",1,1,0,0
"(68, 53)",0,1,0,1
"(69, 53)",0,0,1,1
"(70, 53)",0,0,1,1
"(71, 53)",0,1,1,1
"(72, 53)",0,0,1,0
"(73, 53)",0,1,0,1
"(74, 53)",0,1,1,0
"(75, 53)",1,1,0,0
"(76, 53)",1,0,0,1
"(77, 53)",0,1,1,0
"(78, 53)",1,1,0,0
"(79, 53)",1,1,0,0
"(80, 53)",0,1,0,1
"(81, 53)",0,0,1,1
"(82, 53)",0,1,1,0
"(83, 53)",1,1,0,0
"(84, 53)",1,0,0,1
"(85, 53)",1,0,1,0
"(86, 53)",0,1,0,1
"(87, 53)",0,0,1,1
"(88, 53)",1,1,1,0
"(89, 53)",1,1,0,0
"(90, 53)",1,1,0,0
"(91, 53)",0,1,0,1
"(92, 53)",0,1,1,0
"(93, 53)",1,1,0,0
"(94, 53)",1,0,0,0
"(95, 53)",0,1,0,1
"(96, 53)",0,0,1,1
"(97, 53)",1,1,1,1
"(98, 53)",0,0,1,1
"(99, 53)",0,0,1,0
"(100, 53)",1,1,0,0
"(1, 54)",1,1,0,0
"(2, 54)",0,0,0,1
"(3, 54)",0,0,1,1
"(4, 54)",0,1,1,0
"(5, 54)",1,0,0,1
"(6, 54)",1,1,1,0
"(7, 54)",0,1,0,1
"(8, 54)",0,0,1,1
"(9, 54)",1,1,1,0
"(10, 54)",1,0,0,1
"(11, 54)",0,1,1,0
"(12, 54)",0,1,0,1
"(13, 54)",0,1,1,0
"(14, 54)",1,0,0,1
"(15, 54)",0,0,1,1
"(16, 54)",0,1,1,0
"(17, 54)",1,1,0,1
"(18, 54)",0,1,1,0
"(19, 54)",0,1,0,1
"(20, 54)",1,0,1,0
"(21, 54)",0,1,0,1
"(22, 54)",0,0,1,1
"(23, 54)",1,1,1,0
"(24, 54)",0,1,0,1
"(25, 54)",1,0,1,0
"(26, 54)",1,0,0,1
"(27, 54)",0,1,1,0
"(28, 54)",0,0,0,1
"(29, 54)",0,1,1,1
"(30, 54)",0,0,1,1
"(31, 54)",1,0,1,0
"(32, 54)",1,1,0,0
"(33, 54)",1,1,0,1
"(34, 54)",0,0,1,1
"(35, 54)",0,0,1,1
"(36, 54)",0,0,1,1
"(37, 54)",0,0,1,1
"(38, 54)",0,1,1,0
"(39, 54)",1,1,0,0
"(40, 54)",0,1,0,1
"(41, 54)",0,1,1,1
"(42, 54)",0,0,1,1
"(43, 54)",0,1,1,0
"(44, 54)",0,1,0,1
"(45, 54)",1,0,1,0
"(46, 54)",0,1,0,1
"(47, 54)",0,0,1,1
"(48, 54)",1,0,1,0
"(49, 54)",0,1,0,0
"(50, 54)",1,0,0,1
"(51, 54)",0,1,1,0
"(52, 54)",1,0,0,0
"(53, 54)",1,0,0,1
"(54, 54)",0,1,1,0
"(55, 54)",0,1,0,1
"(56, 54)",1,0,1,0
"(57, 54)",1,0,0,1
"(58, 54)",0,0,1,1
"(59, 54)",0,0,1,0
"(60, 54)",1,1,0,1
"(61, 54)",0,1,1,0
"(62, 54)",1,0,0,0
"(63, 54)",0,1,0,1
"(64, 54)",0,0,1,1
"(65, 54)",0,1,1,0
"(66, 54)",1,1,0,0
"(67, 54)",0,1,0,1
"(68, 54)",1,0,1,0
"(69, 54)",0,0,0,1
"(70, 54)",1,0,1,0
"(71, 54)",1,0,0,1
"(72, 54)",0,0,1,1
"(73, 54)",0,0,1,1
"(74, 54)",1,0,1,1
"(75, 54)",0,1,1,1
"(76, 54)",0,1,1,1
"(77, 54)",0,0,1,1
"(78, 54)",0,1,1,0
"(79, 54)",0,1,0,1
"(80, 54)",0,0,1,1
"(81, 54)",1,0,1,0
"(82, 54)",1,0,0,0
"(83, 54)",1,1,0,0
"(84, 54)",1,1,0,0
"(85, 54)",0,1,0,1
"(86, 54)",1,0,1,1
"(87, 54)",1,0,1,0
"(88, 54)",1,1,0,0
"(89, 54)",1,1,0,0
"(90, 54)",0,1,0,1
"(91, 54)",1,0,1,1
"(92, 54)",0,0,1,0
"(93, 54)",0,1,0,1
"(94, 54)",1,1,1,0
"(95, 54)",1,0,0,1
"(96, 54)",1,0,1,0
"(97, 54)",0,1,0,1
"(98, 54)",0,0,1,1
"(99, 54)",0,0,1,1
"(100, 54)",0,1,1,0
"(1, 55)",1,1,0,0
"(2, 55)",1,0,0,1
"(3, 55)",1,0,1,1
"(4, 55)",0,0,1,1
"(5, 55)",0,1,1,0
"(6, 55)",0,1,0,0
"(7, 55)",1,0,0,1
"(8, 55)",1,0,1,0
"(9, 55)",0,1,0,0
"(10, 55)",0,1,0,1
"(11, 55)",1,0,1,1
"(12, 55)",1,0,1,0
"(13, 55)",1,0,0,1
"(14, 55)",0,1,1,0
"(15, 55)",1,0,0,1
"(16, 55)",1,0,1,1
"(17, 55)",0,1,1,1
"(18, 55)",1,0,1,0
"(19, 55)",1,0,0,0
"(20, 55)",0,1,0,1
"(21, 55)",0,0,1,1
"(22, 55)",1,0,1,0
"(23, 55)",1,1,0,0
"(24, 55)",1,0,0,0
"(25, 55)",1,1,0,0
"(26, 55)",0,1,0,1
"(27, 55)",0,0,1,1
"(28, 55)",0,0,1,1
"(29, 55)",1,0,1,0
"(30, 55)",0,0,0,1
"(31, 55)",0,1,1,1
"(32, 55)",1,1,1,0
"(33, 55)",0,1,0,1
"(34, 55)",0,0,1,1
"(35, 55)",0,0,1,1
"(36, 55)",0,0,1,1
"(37, 55)",1,0,1,0
"(38, 55)",0,0,0,1
"(39, 55)",0,1,1,1
"(40, 55)",0,0,1,0
"(41, 55)",1,0,0,1
"(42, 55)",0,0,1,1
"(43, 55)",1,0,1,1
"(44, 55)",0,0,1,1
"(45, 55)",0,1,1,0
"(46, 55)",1,0,0,1
"(47, 55)",1,0,1,0
"(48, 55)",1,1,0,0
"(49, 55)",1,0,0,1
"(50, 55)",1,1,1,0
"(51, 55)",0,0,0,1
"(52, 55)",0,1,1,1
"(53, 55)",0,1,1,1
"(54, 55)",0,0,1,1
"(55, 55)",1,0,1,0
"(56, 55)",1,1,0,0
"(57, 55)",0,1,0,1
"(58, 55)",0,0,1,1
"(59, 55)",1,0,1,0
"(60, 55)",1,1,0,1
"(61, 55)",0,0,1,1
"(62, 55)",0,1,1,1
"(63, 55)",0,0,1,1
"(64, 55)",0,0,1,1
"(65, 55)",1,0,1,0
"(66, 55)",0,1,0,1
"(67, 55)",1,0,1,0
"(68, 55)",0,1,0,1
"(69, 55)",1,0,1,0
"(70, 55)",1,1,0,0
"(71, 55)",1,1,0,0
"(72, 55)",0,0,0,1
"(73, 55)",0,0,1,1
"(74, 55)",0,1,1,1
"(75, 55)",0,0,1,1
"(76, 55)",0,0,1,1
"(77, 55)",1,0,1,0
"(78, 55)",1,0,0,1
"(79, 55)",0,0,1,1
"(80, 55)",1,0,1,0
"(81, 55)",0,1,0,1
"(82, 55)",0,1,1,0
"(83, 55)",0,1,0,1
"(84, 55)",0,1,1,0
"(85, 55)",1,0,0,1
"(86, 55)",1,1,1,0
"(87, 55)",0,1,0,1
"(88, 55)",1,1,1,0
"(89, 55)",0,1,0,1
"(90, 55)",1,0,1,0
"(91, 55)",1,1,0,1
"(92, 55)",0,0,1,1
"(93, 55)",0,0,1,1
"(94, 55)",0,1,1,0
"(95, 55)",1,1,0,0
"(96, 55)",0,1,0,1
"(97, 55)",1,0,1,1
"(98, 55)",0,0,1,1
"(99, 55)",0,0,1,1
"(100, 55)",1,0,1,0
"(1, 56)",1,1,0,1
"(2, 56)",0,1,1,0
"(3, 56)",0,1,0,0
"(4, 56)",1,0,0,1
"(5, 56)",1,0,1,0
"(6, 56)",1,0,0,1
"(7, 56)",0,1,1,0
"(8, 56)",0,1,0,1
"(9, 56)",0,0,1,1
"(10, 56)",1,0,1,0
"(11, 56)",0,1,0,0
"(12, 56)",1,1,0,0
"(13, 56)",1,1,0,0
"(14, 56)",0,0,0,1
"(15, 56)",1,1,1,0
"(16, 56)",0,1,0,1
"(17, 56)",1,0,1,0
"(18, 56)",1,1,0,0
"(19, 56)",1,1,0,0
"(20, 56)",1,0,0,1
"(21, 56)",0,0,1,1
"(22, 56)",0,1,1,0
"(23, 56)",0,1,0,1
"(24, 56)",0,1,1,0
"(25, 56)",0,1,0,1
"(26, 56)",1,0,1,0
"(27, 56)",1,0,0,1
"(28, 56)",1,0,1,0
"(29, 56)",1,1,0,0
"(30, 56)",1,0,0,1
"(31, 56)",0,0,1,1
"(32, 56)",1,1,1,0
"(33, 56)",1,0,0,1
"(34, 56)",0,0,1,1
"(35, 56)",0,0,1,1
"(36, 56)",0,0,1,1
"(37, 56)",0,1,1,0
"(38, 56)",1,0,0,1
"(39, 56)",1,0,1,0
"(40, 56)",1,0,0,1
"(41, 56)",0,1,1,0
"(42, 56)",1,0,0,1
"(43, 56)",0,1,1,1
"(44, 56)",1,0,1,1
"(45, 56)",0,0,1,0
"(46, 56)",1,1,0,0
"(47, 56)",0,1,0,1
"(48, 56)",0,1,1,0
"(49, 56)",1,1,0,0
"(50, 56)",0,1,0,0
"(51, 56)",1,0,0,1
"(52, 56)",1,0,1,0
"(53, 56)",1,0,0,1
"(54, 56)",0,0,1,0
"(55, 56)",1,1,0,1
"(56, 56)",0,1,1,1
"(57, 56)",0,0,1,1
"(58, 56)",1,0,1,0
"(59, 56)",0,1,0,1
"(60, 56)",0,1,1,0
"(61, 56)",1,0,0,1
"(62, 56)",0,0,1,1
"(63, 56)",1,0,1,0
"(64, 56)",1,0,0,0
"(65, 56)",0,1,0,1
"(66, 56)",1,0,1,0
"(67, 56)",0,1,0,1
"(68, 56)",1,0,1,0
"(69, 56)",0,1,0,1
"(70, 56)",1,1,1,0
"(71, 56)",0,1,0,1
"(72, 56)",1,0,1,0
"(73, 56)",1,0,0,1
"(74, 56)",1,0,1,0
"(75, 56)",1,0,0,0
"(76, 56)",1,0,0,1
"(77, 56)",0,1,1,0
"(78, 56)",1,1,0,0
"(79, 56)",1,0,0,0
"(80, 56)",0,1,0,1
"(81, 56)",0,0,1,1
"(82, 56)",1,0,1,0
"(83, 56)",1,0,0,1
"(84, 56)",0,0,1,1
"(85, 56)",1,1,1,0
"(86, 56)",0,1,0,1
"(87, 56)",1,0,1,0
"(88, 56)",0,1,0,1
"(89, 56)",0,0,1,0
"(90, 56)",1,1,0,0
"(91, 56)",0,1,0,1
"(92, 56)",0,0,1,1
"(93, 56)",1,0,1,0
"(94, 56)",1,0,0,0
"(95, 56)",0,1,0,1
"(96, 56)",1,0,1,0
"(97, 56)",1,1,0,0
"(98, 56)",1,0,0,1
"(99, 56)",1,0,1,0
"(100, 56)",1,1,0,0
"(1, 57)",1,1,0,1
"(2, 57)",0,0,1,1
"(3, 57)",0,0,1,1
"(4, 57)",0,1,1,0
"(5, 57)",1,1,0,0
"(6, 57)",1,1,0,0
"(7, 57)",1,0,0,1
"(8, 57)",1,0,1,0
"(9, 57)",1,0,0,0
"(10, 57)",1,1,0,0
"(11, 57)",1,0,0,1
"(12, 57)",0,1,1,0
"(13, 57)",0,1,0,1
"(14, 57)",1,0,1,0
"(15, 57)",1,1,0,0
"(16, 57)",1,0,0,0
"(17, 57)",1,1,0,0
"(18, 57)",1,1,0,1
"(19, 57)",1,1,1,0
"(20, 57)",1,1,0,0
"(21, 57)",1,0,0,1
"(22, 57)",0,0,1,1
"(23, 57)",0,0,1,1
"(24, 57)",0,0,1,1
"(25, 57)",0,0,1,1
"(26, 57)",0,1,1,0
"(27, 57)",0,1,0,0
"(28, 57)",1,1,0,0
"(29, 57)",0,1,0,1
"(30, 57)",1,1,1,0
"(31, 57)",1,0,0,0
"(32, 57)",1,1,0,0
"(33, 57)",0,1,0,1
"(34, 57)",0,0,1,1
"(35, 57)",0,0,1,1
"(36, 57)",1,0,1,1
"(37, 57)",0,0,1,1
"(38, 57)",0,1,1,0
"(39, 57)",0,1,0,1
"(40, 57)",0,1,1,0
"(41, 57)",0,0,0,1
"(42, 57)",0,1,1,1
"(43, 57)",0,0,1,0
"(44, 57)",0,1,0,1
"(45, 57)",1,0,1,0
"(46, 57)",0,1,0,1
"(47, 57)",1,0,1,0
"(48, 57)",1,0,0,1
"(49, 57)",0,1,1,1
"(50, 57)",0,0,1,1
"(51, 57)",0,1,1,0
"(52, 57)",1,1,0,0
"(53, 57)",1,1,0,1
"(54, 57)",1,0,1,0
"(55, 57)",1,1,0,0
"(56, 57)",1,0,0,1
"(57, 57)",1,0,1,0
"(58, 57)",0,1,0,1
"(59, 57)",0,0,1,1
"(60, 57)",0,0,1,1
"(61, 57)",1,1,1,0
"(62, 57)",1,0,0,0
"(63, 57)",1,1,0,0
"(64, 57)",0,1,0,1
"(65, 57)",1,0,1,0
"(66, 57)",1,1,0,0
"(67, 57)",1,0,0,0
"(68, 57)",0,1,0,1
"(69, 57)",1,0,1,0
"(70, 57)",1,1,0,0
"(71, 57)",1,0,0,0
"(72, 57)",0,1,0,1
"(73, 57)",0,1,1,0
"(74, 57)",1,1,0,0
"(75, 57)",1,1,0,0
"(76, 57)",0,1,0,1
"(77, 57)",0,0,1,1
"(78, 57)",0,1,1,0
"(79, 57)",1,1,0,1
"(80, 57)",0,0,1,0
"(81, 57)",1,0,0,1
"(82, 57)",0,1,1,1
"(83, 57)",1,1,1,0
"(84, 57)",1,0,0,0
"(85, 57)",1,1,0,1
"(86, 57)",1,0,1,0
"(87, 57)",1,1,0,0
"(88, 57)",1,0,0,1
"(89, 57)",1,0,1,0
"(90, 57)",1,1,0,0
"(91, 57)",1,0,0,1
"(92, 57)",0,0,1,1
"(93, 57)",0,1,1,0
"(94, 57)",1,1,0,0
"(95, 57)",1,0,0,1
"(96, 57)",0,1,1,0
"(97, 57)",0,1,0,1
"(98, 57)",1,1,1,0
"(99, 57)",0,1,0,1
"(100, 57)",1,1,1,0
"(1, 58)",1,1,0,0
"(2, 58)",0,0,0,1
"(3, 58)",1,0,1,1
"(4, 58)",0,0,1,1
"(5, 58)",0,1,1,0
"(6, 58)",1,1,0,0
"(7, 58)",1,1,0,0
"(8, 58)",1,1,0,0
"(9, 58)",0,1,0,1
"(10, 58)",1,1,1,0
"(11, 58)",1,1,0,0
"(12, 58)",0,0,0,1
"(13, 58)",1,0,1,1
"(14, 58)",0,1,1,0
"(15, 58)",1,1,0,1
"(16, 58)",0,1,1,0
"(17, 58)",0,1,0,1
"(18, 58)",0,1,1,0
"(19, 58)",1,1,0,1
"(20, 58)",0,1,1,0
"(21, 58)",1,1,0,0
"(22, 58)",0,0,0,1
"(23, 58)",1,0,1,1
"(24, 58)",1,0,1,0
"(25, 58)",1,0,0,1
"(26, 58)",0,0,1,1
"(27, 58)",1,0,1,1
"(28, 58)",1,1,1,0
"(29, 58)",0,0,0,1
"(30, 58)",0,1,1,1
"(31, 58)",1,1,1,0
"(32, 58)",0,1,0,1
"(33, 58)",1,0,1,0
"(34, 58)",0,0,0,1
"(35, 58)",0,0,1,1
"(36, 58)",0,1,1,0
"(37, 58)",1,0,0,1
"(38, 58)",1,0,1,0
"(39, 58)",1,0,0,1
"(40, 58)",0,0,1,1
"(41, 58)",1,0,1,0
"(42, 58)",1,0,0,1
"(43, 58)",0,0,1,1
"(44, 58)",1,0,1,0
"(45, 58)",1,1,0,1
"(46, 58)",0,0,1,1
"(47, 58)",0,1,1,0
"(48, 58)",0,1,0,1
"(49, 58)",0,0,1,0
"(50, 58)",1,0,0,1
"(51, 58)",0,0,1,1
"(52, 58)",0,1,1,0
"(53, 58)",1,1,0,0
"(54, 58)",0,1,0,1
"(55, 58)",0,1,1,0
"(56, 58)",1,1,0,0
"(57, 58)",0,1,0,1
"(58, 58)",0,0,1,1
"(59, 58)",1,0,1,0
"(60, 58)",0,0,0,1
"(61, 58)",0,1,1,1
"(62, 58)",0,1,1,1
"(63, 58)",0,1,1,1
"(64, 58)",1,0,1,0
"(65, 58)",1,1,0,1
"(66, 58)",0,1,1,1
"(67, 58)",0,1,1,1
"(68, 58)",1,0,1,0
"(69, 58)",1,1,0,0
"(70, 58)",0,1,0,1
"(71, 58)",0,1,1,1
"(72, 58)",0,0,1,1
"(73, 58)",1,0,1,0
"(74, 58)",1,1,0,0
"(75, 58)",1,1,0,1
"(76, 58)",0,0,1,1
"(77, 58)",0,0,1,1
"(78, 58)",0,0,1,1
"(79, 58)",0,1,1,1
"(80, 58)",0,0,1,1
"(81, 58)",0,1,1,1
"(82, 58)",0,0,1,1
"(83, 58)",0,1,1,0
"(84, 58)",1,1,0,0
"(85, 58)",1,1,0,0
"(86, 58)",1,1,0,0
"(87, 58)",0,1,0,1
"(88, 58)",0,1,1,0
"(89, 58)",0,1,0,1
"(90, 58)",0,1,1,0
"(91, 58)",1,1,0,0
"(92, 58)",1,0,0,1
"(93, 58)",0,0,1,1
"(94, 58)",0,1,1,1
"(95, 58)",0,1,1,0
"(96, 58)",0,0,0,1
"(97, 58)",0,0,1,1
"(98, 58)",0,1,1,1
"(99, 58)",1,0,1,0
"(100, 58)",1,1,0,0
"(1, 59)",1,1,0,1
"(2, 59)",1,0,1,0
"(3, 59)",0,1,0,1
"(4, 59)",0,0,1,1
"(5, 59)",0,0,1,1
"(6, 59)",1,1,1,0
"(7, 59)",1,1,0,0
"(8, 59)",0,1,0,1
"(9, 59)",1,0,1,0
"(10, 59)",1,1,0,0
"(11, 59)",0,1,0,1
"(12, 59)",1,0,1,0
"(13, 59)",0,1,0,1
"(14, 59)",0,0,1,1
"(15, 59)",0,1,1,1
"(16, 59)",0,0,1,1
"(17, 59)",0,0,1,1
"(18, 59)",1,0,1,0
"(19, 59)",1,1,0,1
"(20, 59)",1,0,1,0
"(21, 59)",0,1,0,1
"(22, 59)",0,0,1,1
"(23, 59)",0,1,1,0
"(24, 59)",1,1,0,0
"(25, 59)",0,1,0,0
"(26, 59)",1,0,0,1
"(27, 59)",0,1,1,0
"(28, 59)",0,1,0,1
"(29, 59)",1,0,1,0
"(30, 59)",1,0,0,1
"(31, 59)",0,1,1,1
"(32, 59)",1,0,1,0
"(33, 59)",1,1,0,0
"(34, 59)",1,0,0,1
"(35, 59)",1,0,1,0
"(36, 59)",1,0,0,1
"(37, 59)",0,1,1,0
"(38, 59)",1,1,0,0
"(39, 59)",0,1,0,1
"(40, 59)",1,0,1,0
"(41, 59)",1,1,0,1
